timestamp,price,return_1h,rolling_mean_3h,rolling_mean_6h,rolling_std_3h,future_price,target,prediction
2025-06-13 16:00:00+00:00,105813.7578125,0.003404006145109717,105413.04427083333,105143.90885416667,423.13316275284365,105451.609375,0,0
2025-06-13 17:00:00+00:00,105451.609375,-0.003422508046087125,105573.38541666667,105215.50130208333,208.17467211969984,105100.703125,0,0
2025-06-13 18:00:00+00:00,105100.703125,-0.003327651916170682,105455.35677083333,105253.13411458333,356.5421140245291,105108.0625,1,1
2025-06-13 19:00:00+00:00,105108.0625,7.002212907414318e-05,105220.125,105316.58463541667,200.5051171465524,105452.4296875,1,1
2025-06-13 20:00:00+00:00,105452.4296875,0.0032763156251691683,105220.3984375,105396.89192708333,200.9786452151549,105676.03125,1,1
2025-06-13 21:00:00+00:00,105676.03125,0.0021204021866791933,105412.17447916667,105433.765625,286.1162116913498,105799.8515625,1,1
2025-06-13 22:00:00+00:00,105799.8515625,0.0011716972243882573,105642.77083333333,105431.44791666667,176.08288189019737,106087.9375,1,0
2025-06-13 23:00:00+00:00,106087.9375,0.0027229332862515054,105854.60677083333,105537.50260416667,211.34164125175448,105807.640625,0,0
2025-06-14 00:00:00+00:00,105807.640625,-0.0026421182427078804,105898.4765625,105655.32552083333,164.12419840609024,105544.5859375,0,0
2025-06-14 01:00:00+00:00,105544.5859375,-0.0024861596567710142,105813.38802083333,105728.07942708333,271.72137298517004,105420.625,0,0
2025-06-14 02:00:00+00:00,105420.625,-0.001174488832363263,105590.95052083333,105722.77864583333,197.62977872600078,105298.625,0,0
2025-06-14 03:00:00+00:00,105298.625,-0.0011572687982072116,105421.27864583333,105659.87760416667,122.98177155018843,105410.1328125,1,0
2025-06-14 04:00:00+00:00,105410.1328125,0.0010589674129173332,105376.4609375,105594.92447916667,67.61173252112168,105354.5,0,0
2025-06-14 05:00:00+00:00,105354.5,-0.0005277748069908439,105354.41927083333,105472.68489583333,55.75395008453245,105184.828125,0,0
2025-06-14 06:00:00+00:00,105184.828125,-0.0016104853138688702,105316.48697916667,105368.8828125,117.36393341662253,105136.234375,0,0
2025-06-14 07:00:00+00:00,105136.234375,-0.00046198440275291297,105225.1875,105300.82421875,114.59332496681529,105171.1953125,1,1
2025-06-14 08:00:00+00:00,105171.1953125,0.0003325298619247796,105164.0859375,105259.25260416667,25.06482683823289,104919.8671875,0,1
2025-06-14 09:00:00+00:00,104919.8671875,-0.0023897049401522263,105075.765625,105196.12630208333,136.1389323409097,105056.8671875,1,1
2025-06-14 10:00:00+00:00,105056.8671875,0.0013057584199489547,105049.30989583333,105137.24869791667,125.83437963053754,105146.5625,1,1
2025-06-14 11:00:00+00:00,105146.5625,0.0008537786715065998,105041.09895833333,105102.59244791667,114.16728500605822,105066.59375,0,1
2025-06-14 12:00:00+00:00,105066.59375,-0.0007605455480297341,105090.0078125,105082.88671875,49.218655133810906,105068.9296875,1,1
2025-06-14 13:00:00+00:00,105068.9296875,2.2232923107434743e-05,105094.02864583333,105071.66927083333,45.51064190056819,104967.0,0,1
2025-06-14 14:00:00+00:00,104967.0,-0.0009701220694182666,105034.17447916667,105037.63671875,58.18652884889299,104866.84375,0,0
2025-06-14 15:00:00+00:00,104866.84375,-0.0009541689292825728,104967.59114583333,105028.79947916667,101.04426566538947,104494.4140625,0,1
2025-06-14 16:00:00+00:00,104494.4140625,-0.0035514531970454177,104776.0859375,104935.05729166667,249.022293134619,104657.3046875,1,1
2025-06-14 17:00:00+00:00,104657.3046875,0.0015588452881565296,104672.85416666667,104853.51432291667,186.70111879578997,104915.703125,1,1
2025-06-14 18:00:00+00:00,104915.703125,0.002468995721527145,104689.140625,104828.36588541667,212.44120064833865,104736.453125,0,1
2025-06-14 19:00:00+00:00,104736.453125,-0.0017085144993637114,104769.8203125,104772.953125,132.39133289929893,104908.3203125,1,1
2025-06-14 20:00:00+00:00,104908.3203125,0.001640949090522259,104853.4921875,104763.17317708333,101.42599811320194,105445.15625,1,1
2025-06-14 21:00:00+00:00,105445.15625,0.005117191238034113,105029.9765625,104859.55859375,369.682583061788,105417.4921875,0,1
2025-06-14 22:00:00+00:00,105417.4921875,-0.0002623549860784058,105256.98958333333,105013.40494791667,302.2730891198973,105474.4609375,1,1
2025-06-14 23:00:00+00:00,105474.4609375,0.0005404107877911013,105445.703125,105149.59765625,28.48831204791243,105707.3828125,1,1
2025-06-15 00:00:00+00:00,105707.3828125,0.0022083248677422507,105533.11197916667,105281.54427083333,153.58744132304636,105475.3046875,0,0
2025-06-15 01:00:00+00:00,105475.3046875,-0.0021954769745047287,105552.3828125,105404.68619791667,134.23460052651834,105538.1953125,1,1
2025-06-15 02:00:00+00:00,105538.1953125,0.0005962592398887079,105573.62760416667,105509.66536458333,120.027703033263,105531.8359375,0,0
2025-06-15 03:00:00+00:00,105531.8359375,-6.025662065922699e-05,105515.11197916667,105524.11197916667,34.62045298624569,105606.6875,1,1
2025-06-15 04:00:00+00:00,105606.6875,0.0007092794495144883,105558.90625,105555.64453125,41.501762628450805,106047.515625,1,1
2025-06-15 05:00:00+00:00,106047.515625,0.004174244410421357,105728.6796875,105651.15364583333,278.6448552966653,105514.8984375,0,0
2025-06-15 06:00:00+00:00,105514.8984375,-0.005022439086488473,105723.03385416667,105619.07291666667,284.7325459110859,105487.625,0,0
2025-06-15 07:00:00+00:00,105487.625,-0.0002584794934542556,105683.34635416667,105621.12630208333,315.6745214025479,105193.8515625,0,0
2025-06-15 08:00:00+00:00,105193.8515625,-0.002784909011839032,105398.79166666667,105563.73567708333,178.00644600730504,104975.1953125,0,0
2025-06-15 09:00:00+00:00,104975.1953125,-0.0020786029482919854,105218.890625,105470.96223958333,257.13082690723485,105144.46875,1,1
2025-06-15 10:00:00+00:00,105144.46875,0.0016125089074241483,105104.50520833333,105393.92578125,114.67542200892747,104985.6171875,0,1
2025-06-15 11:00:00+00:00,104985.6171875,-0.0015107933340525737,105035.09375,105216.94270833333,94.86475551215537,105298.8828125,1,1
2025-06-15 12:00:00+00:00,105298.8828125,0.002983890873742512,105142.98958333333,105180.94010416667,156.63805062047874,105562.2890625,1,1
